customer_code,customer_name,recency_days,frequency,monetary,R_score,F_score,M_score,purchase_priority_score,priority_tier,churn_risk,dealer_segment,recommended_action,risk_reason,priority_reason
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,0,21,970878829.0,5,5,5,0.99,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.99"
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,0,22,736902651.0,5,5,5,0.99,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.99"
KH-00091,CÔNG TY TNHH BÌNH MINH,0,55,9586955210.0,5,5,5,0.99,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.99"
KH-00147,CÔNG TY TNHH PHÚ THỊNH,0,24,1073407616.0,5,5,5,0.99,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.99"
KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,0,137,491980962.0,5,5,5,0.9894586894586894,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.99"
KH-00135,CỬA HÀNG XE ĐẠP XUÂN MAI,0,92,264727740.0,5,5,5,0.974002849002849,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.97"
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,2,14,489630733.0,5,5,5,0.9607963906300121,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.96"
KH-00250,DOANH NGHIỆP TW XUÂN MAI,0,6,741249259.0,5,5,5,0.958511396011396,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.96"
KH-00011,DOANH NGHIỆP TW NAM TIẾN,0,6,349430383.0,5,5,5,0.9459757834757834,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.95"
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,5,70,4483061201.0,5,5,5,0.9449153273584385,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.94"
KH-00014,HỘ KINH DOANH LONG PHÚ,0,9,310207551.0,5,5,5,0.9445385507576121,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.94"
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,1,7,274643178.0,5,5,5,0.9380270596701265,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.94"
KH-00386,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,0,12,852358885.0,5,5,5,0.9378917378917379,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.94"
KH-00219,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,4,10,504132582.0,5,5,5,0.9351212029755729,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.94"
KH-00368,HỘ KINH DOANH HOÀ BÌNH,0,10,681925868.0,5,5,5,0.9325142450142451,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00404,HỘ KINH DOANH PHÚ THỊNH,0,10,562369951.0,5,5,5,0.9302350427350428,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00377,DOANH NGHIỆP TW PHÚ THỊNH,0,11,425306571.0,5,5,5,0.9268874643874644,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00453,CÔNG TY TNHH YÊN BÌNH,0,10,484731756.0,5,5,5,0.9268162393162394,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,6,13,854729592.0,5,5,5,0.9261569031784332,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,6,11,1171219711.0,5,5,5,0.9254090399305699,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00006,CÔNG TY TNHH CHI THÀNH,4,83,1290609765.0,5,5,5,0.925170428490557,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.93"
KH-00486,CÔNG TY TNHH VẠN LỢI,0,9,388323052.0,5,5,5,0.9210470085470085,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.92"
KH-00349,HỘ KINH DOANH TRƯỜNG THỊNH,1,10,527299499.0,5,5,5,0.9176210767641437,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.92"
KH-00463,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,2,13,745162922.0,5,5,5,0.9156040829377045,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.92"
KH-00194,CỬA HÀNG XE ĐẠP SÁN LẠP,1,6,389253883.0,5,5,5,0.9141969066467119,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00488,CÔNG TY TNHH TRƯỜNG THỊNH,0,8,352895228.0,5,5,5,0.9129273504273504,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00365,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRÍ ĐỨC,0,12,214822722.0,5,5,5,0.9091168091168091,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00646,DOANH NGHIỆP TW ĐẠI DƯƠNG,1,9,378394897.0,5,5,5,0.9084330425761096,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,8,18,666028221.0,4,5,5,0.9073199326726412,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=4, F=5, M=5, score=0.91"
KH-00503,DOANH NGHIỆP TW PHÚ THỊNH,0,8,277846036.0,5,5,5,0.9063746438746438,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00558,CÔNG TY CỔ PHẦN THƯƠNG MẠI SƠN HÀ,1,15,254038097.0,5,5,5,0.9059045525476194,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00594,DOANH NGHIỆP TW LONG PHÚ,0,6,534719618.0,5,5,5,0.9050925925925927,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.91"
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,6,9,327524467.0,5,5,5,0.9021896667111966,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00364,DOANH NGHIỆP TW XUÂN MAI,2,8,586736727.0,5,5,5,0.9003263051599266,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00353,CỬA HÀNG XE ĐẠP THANH BÌNH,0,9,199312370.0,5,5,5,0.9002492877492877,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00402,CÔNG TY CỔ PHẦN ĐẠI LỢI,3,11,653981369.0,5,5,5,0.8998483669678564,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00023,CÔNG TY TNHH THANH BÌNH,0,8,808102774.0,5,5,5,0.8976856772635556,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00359,CÔNG TY CỔ PHẦN VẠN LỢI,4,16,821972293.0,5,5,5,0.8971226274769974,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
KH-00366,HỘ KINH DOANH THIÊN AN,4,12,1197872615.0,5,5,5,0.8970514024057724,A - Top,LOW,VIP / Chiến lược,"Duy trì chăm sóc riêng, ưu tiên hàng bán chạy",Đang hoạt động hoặc rủi ro thấp,"R=5, F=5, M=5, score=0.9"
