message_id,from_address,subject,received_at,attachment_name,so_number,processing_status,error_message
<177639809687.27.2053695854357871005@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,[ĐẶT HÀNG] BH26.0935,2026-03-01 14:28:41+07:00,BH26_0935.pdf,BH26.0935,SUCCESS,
<177639809696.27.1453607047024582931@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,Đơn đặt hàng BH26.0936 ngày 01/03/2026,2026-03-01 08:01:22+07:00,BH26_0936.pdf,BH26.0936,SUCCESS,
<177639809697.27.11596357474505186610@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,Đơn đặt hàng BH26.0937 ngày 01/03/2026,2026-03-01 17:39:23+07:00,BH26_0937.pdf,BH26.0937,SUCCESS,
<177639809697.27.6670988768861278913@namtien.vn>,CÔNG TY CỔ PHẦN NAM TIẾN <dathang@namtien.vn>,Đơn đặt hàng BH26.0938 ngày 01/03/2026,2026-03-01 14:00:16+07:00,BH26_0938.pdf,BH26.0938,SUCCESS,
<177639809699.27.15777827095392894769@khaihoan.vn>,DOANH NGHIỆP TW KHẢI HOÀN <dathang@khaihoan.vn>,Đơn đặt hàng BH26.0939 ngày 01/03/2026,2026-03-01 08:47:33+07:00,BH26_0939.pdf,BH26.0939,SUCCESS,
<177639809698.27.1283066103397798384@quangvinh.vn>,HỘ KINH DOANH QUANG VINH <dathang@quangvinh.vn>,Purchase Order BH26.0940,2026-03-01 14:52:42+07:00,BH26_0940.pdf,BH26.0940,SUCCESS,
<177639809698.27.14260593838171589262@taybac.vn>,HỘ KINH DOANH TÂY BẮC <dathang@taybac.vn>,Purchase Order BH26.0941,2026-03-01 07:56:56+07:00,BH26_0941.pdf,BH26.0941,SUCCESS,
<177639809699.27.7012091250016467664@dailoi.vn>,CỬA HÀNG XE ĐẠP ĐẠI LỢI <dathang@dailoi.vn>,Đơn đặt hàng BH26.0942 ngày 01/03/2026,2026-03-01 16:17:13+07:00,BH26_0942.pdf,BH26.0942,SUCCESS,
<177639809699.27.15386621650891716399@vanloi.vn>,CÔNG TY TNHH VẠN LỢI <dathang@vanloi.vn>,Yêu cầu cung cấp hàng - BH26.0943,2026-03-01 16:40:23+07:00,BH26_0943.pdf,BH26.0943,SUCCESS,
<177639809700.27.6553587738384543240@vietanh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH <dathang@vietanh.vn>,Purchase Order BH26.0944,2026-03-01 16:44:58+07:00,BH26_0944.pdf,BH26.0944,SUCCESS,
<177639809700.27.12946299709363366021@dailoi.vn>,DOANH NGHIỆP TW ĐẠI LỢI <dathang@dailoi.vn>,[ĐẶT HÀNG] BH26.0945,2026-03-01 10:51:21+07:00,BH26_0945.pdf,BH26.0945,SUCCESS,
<177639809701.27.1317143838265288107@vietanh.vn>,DOANH NGHIỆP TW VIỆT ANH <dathang@vietanh.vn>,Purchase Order BH26.0946,2026-03-01 07:35:58+07:00,BH26_0946.pdf,BH26.0946,SUCCESS,
<177639809696.27.801519116549617023@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,Purchase Order BH26.0947,2026-03-01 16:12:36+07:00,BH26_0947.pdf,BH26.0947,SUCCESS,
<177639809696.27.2302636251494628997@toanthang.vn>,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,Purchase Order BH26.0948,2026-03-01 07:29:23+07:00,BH26_0948.pdf,BH26.0948,SUCCESS,
