so_number,line_no,product_code,raw_product_code,product_name,quantity,unit_price,line_total,product_mapping_confidence,product_mapping_method,product_review_required,product_metadata_review_required
BH26.0935,1,000104002009000,000104002009000,Xe nnp Thnng Nhnt Tom & Jerry 14 Hnng,1,1898148,1898148,100,PRODUCT_CODE_EXACT,False,False
BH26.0936,1,000230002013000,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,1,2861111,2861111,100,PRODUCT_CODE_EXACT,False,False
BH26.0937,1,000103002009000,000103002009000,Xe nnp Thnng Nhnt We Bare Bears 16 Hnng,1,1935185,1935185,100,PRODUCT_CODE_EXACT,False,False
BH26.0938,1,000331002008000,000331002008000,Xe nnp Thnng Nhnt MTB 26-02 Ghi,1,2953704,2953704,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,1,000225002023000,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,2,1616111,3232222,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,2,000225002002000,000225002002000,Xe nnp Thnng Nhnt New 26 Trnng,3,1616111,4848333,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,3,000225002015000,000225002015000,Xe nnp Thnng Nhnt New 26 Café/nâu,1,1616111,1616111,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,4,000225002025000,000225002025000,Xe nnp Thnng Nhnt New 26 Xanh mint,2,1616111,3232222,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,5,000209002007000,000209002007000,Xe nnp Thnng Nhnt 219-26 Coban,1,1469444,1469444,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,6,000336002004000,000336002004000,Xe nnp Thnng Nhnt SK 20 nn,1,1377777,1377777,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,7,000224002023000,000224002023000,Xe nnp Thnng Nhnt New 24 Kem,1,1555000,1555000,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,8,000225002023000,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,1,1616111,1616111,100,PRODUCT_CODE_EXACT,False,False
BH26.0939,9,000230002009000,000230002009000,Xe nnp Thnng Nhnt LD 26 Pastel Hnng,1,1799444,1799444,100,PRODUCT_CODE_EXACT,False,False
