so_number,order_date,customer_code,total_quantity,total_amount,total_amount_pdf,message_id,raw_customer_name,raw_tax_id,raw_address,customer_mapping_confidence,customer_mapping_method,customer_review_required,has_warning
BH26.0935,2026-03-01,KH-00157,1,1898148,,<177639809687.27.2053695854357871005@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0936,2026-03-01,KH-00157,1,2861111,,<177639809696.27.1453607047024582931@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0937,2026-03-01,KH-00157,1,1935185,,<177639809697.27.11596357474505186610@longphu.vn>,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội",100.0,TAX_ID_EXACT,False,False
BH26.0938,2026-03-01,KH-00196,1,2953704,,<177639809697.27.6670988768861278913@namtien.vn>,CÔNG TY CỔ PHẦN NAM TIẾN,111014028,"Phường Phú Diễn, TP Hà Nội",100.0,CUSTOMER_NAME_FUZZY,False,False
BH26.0939,2026-03-01,KH-00415,55,78111272,,<177639809699.27.15777827095392894769@khaihoan.vn>,DOANH NGHIỆP TW KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",100.0,TAX_ID_EXACT,False,False
BH26.0940,2026-03-01,KH-00450,18,22573692,,<177639809698.27.1283066103397798384@quangvinh.vn>,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",100.0,TAX_ID_EXACT,False,False
BH26.0941,2026-03-01,KH-00395,24,36109988,,<177639809698.27.14260593838171589262@taybac.vn>,HỘ KINH DOANH TÂY BẮC,221631348,"Ki ốt số 6,7 Chợ Mọc , Phố Mới, Xã Tân Yên, Bắc Ninh",100.0,TAX_ID_EXACT,False,False
BH26.0942,2026-03-01,KH-00076,67,116303304,,<177639809699.27.7012091250016467664@dailoi.vn>,CỬA HÀNG XE ĐẠP ĐẠI LỢI,207110960,"Lý Thái Tổ, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang",100.0,TAX_ID_EXACT,False,False
BH26.0943,2026-03-01,KH-00569,23,34690175,,<177639809699.27.15386621650891716399@vanloi.vn>,CÔNG TY TNHH VẠN LỢI,251887557,"Hòa Vang 3, Xã Hưng Lộc, TP Huế",100.0,TAX_ID_EXACT,False,False
BH26.0944,2026-03-01,KH-00417,30,46613325,,<177639809700.27.6553587738384543240@vietanh.vn>,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH,150425614,"Xã Hồng Sơn, Huyện Mỹ Đức, Hà Nội",100.0,CUSTOMER_NAME_FUZZY,False,False
