order_id,so_number,invoice_symbol,invoice_number,order_date,customer_code,total_amount,total_quantity,line_count,fiscal_year,fiscal_month,fiscal_quarter,created_at
67002,BH26.0935,,,2026-03-01,KH-00157,1898148.0,1,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67003,BH26.0936,,,2026-03-01,KH-00157,2861111.0,1,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67004,BH26.0937,,,2026-03-01,KH-00157,1935185.0,1,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67005,BH26.0938,,,2026-03-01,KH-00196,2953704.0,1,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67006,BH26.0939,,,2026-03-01,KH-00415,78111272.0,55,31,2026,3,1,2026-05-13 16:07:07.428317+00:00
67007,BH26.0940,,,2026-03-01,KH-00450,22573692.0,18,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67008,BH26.0941,,,2026-03-01,KH-00395,36109988.0,24,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67009,BH26.0942,,,2026-03-01,KH-00076,116303304.0,67,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67010,BH26.0943,,,2026-03-01,KH-00569,34690175.0,23,16,2026,3,1,2026-05-13 16:07:07.428317+00:00
67011,BH26.0944,,,2026-03-01,KH-00417,46613325.0,30,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67012,BH26.0945,,,2026-03-01,KH-00168,29681658.0,21,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67013,BH26.0946,,,2026-03-01,KH-00544,28994902.0,19,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67014,BH26.0947,,,2026-03-01,KH-00459,16282679.0,12,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67015,BH26.0948,,,2026-03-01,KH-00459,4530554.0,3,2,2026,3,1,2026-05-13 16:07:07.428317+00:00
67016,BH26.0949,,,2026-03-01,KH-00386,38923878.0,25,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67017,BH26.0950,,,2026-03-01,KH-00027,58179996.0,36,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67018,BH26.0951,,,2026-03-01,KH-00629,23419344.0,16,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67019,BH26.0952,,,2026-03-01,KH-00628,61174432.0,36,18,2026,3,1,2026-05-13 16:07:07.428317+00:00
67020,BH26.0953,,,2026-03-01,KH-00463,46378881.0,27,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67021,BH26.0954,,,2026-03-01,KH-00476,81172199.0,50,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67022,BH26.0955,,,2026-03-01,KH-00217,133489977.0,81,21,2026,3,1,2026-05-13 16:07:07.428317+00:00
67023,BH26.0956,,,2026-03-01,KH-00571,50374975.0,40,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67024,BH26.0957,,,2026-03-01,KH-00659,152961998.0,84,28,2026,3,1,2026-05-13 16:07:07.428317+00:00
67025,BH26.0958,,,2026-03-01,KH-00583,17660921.0,11,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67026,BH26.0959,,,2026-03-01,KH-00420,22992220.0,14,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67027,BH26.0960,,,2026-03-01,KH-00506,120369229.0,68,40,2026,3,1,2026-05-13 16:07:07.428317+00:00
67028,BH26.0961,,,2026-03-01,KH-00598,28867213.0,17,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67029,BH26.0962,,,2026-03-01,KH-00446,35169800.0,31,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67030,BH26.0963,,,2026-03-02,KH-00676,27983324.0,20,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67031,BH26.0964,,,2026-03-02,KH-00402,17831660.0,13,3,2026,3,1,2026-05-13 16:07:07.428317+00:00
67032,BH26.0965,,,2026-03-02,KH-00402,57729430.0,30,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67033,BH26.0966,,,2026-03-02,KH-00564,33339436.0,21,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67034,BH26.0967,,,2026-03-02,KH-00668,23813885.0,15,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67035,BH26.0968,,,2026-03-02,KH-00568,47381097.0,31,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67036,BH26.0969,,,2026-03-02,KH-00612,55472213.0,27,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67037,BH26.0970,,,2026-03-02,KH-00149,65616098.0,40,16,2026,3,1,2026-05-13 16:07:07.428317+00:00
67038,BH26.0971,,,2026-03-02,KH-00660,55949155.0,26,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67039,BH26.0972,,,2026-03-02,KH-00363,162773288.0,96,26,2026,3,1,2026-05-13 16:07:07.428317+00:00
67040,BH26.0973,,,2026-03-02,KH-00663,24571661.0,15,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67041,BH26.0974,,,2026-03-02,KH-00447,20501658.0,15,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67042,BH26.0975,,,2026-03-02,KH-00693,43154426.0,30,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67043,BH26.0976,,,2026-03-02,KH-00503,39984977.0,33,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67044,BH26.0977,,,2026-03-02,KH-00348,32844993.0,19,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67045,BH26.0978,,,2026-03-02,KH-00652,39536106.0,21,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67046,BH26.0979,,,2026-03-02,KH-00409,46916106.0,29,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67047,BH26.0980,,,2026-03-02,KH-00501,37641104.0,23,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67048,BH26.0981,,,2026-03-02,KH-00408,51833141.0,19,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67049,BH26.0982,,,2026-03-02,KH-00147,25553510.0,19,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67050,BH26.0983,,,2026-03-02,KH-00027,52777208.0,27,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67051,BH26.0984,,,2026-03-02,KH-00477,44683879.0,29,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67052,BH26.0985,,,2026-03-02,KH-00564,51266091.0,33,24,2026,3,1,2026-05-13 16:07:07.428317+00:00
67053,BH26.0986,,,2026-03-02,KH-00288,46599988.0,23,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67054,BH26.0987,,,2026-03-02,KH-00088,88843310.0,55,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67055,BH26.0988,,,2026-03-02,KH-00366,109086270.0,68,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67056,BH26.0989,,,2026-03-02,KH-00359,25416660.0,17,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67057,BH26.0990,,,2026-03-02,KH-00440,24928881.0,16,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67058,BH26.0991,,,2026-03-02,KH-00485,20183514.0,15,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67059,BH26.0992,,,2026-03-02,KH-00384,37900552.0,24,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67060,BH26.0993,,,2026-03-02,KH-00385,33829435.0,17,3,2026,3,1,2026-05-13 16:07:07.428317+00:00
67061,BH26.0994,,,2026-03-02,KH-00615,16123882.0,12,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67062,BH26.0995,,,2026-03-02,KH-00563,53903874.0,30,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67063,BH26.0996,,,2026-03-03,KH-00091,537630000.0,518,69,2026,3,1,2026-05-13 16:07:07.428317+00:00
67064,BH26.0997,,,2026-03-03,KH-00338,141959408.0,83,25,2026,3,1,2026-05-13 16:07:07.428317+00:00
67065,BH26.0998,,,2026-03-03,KH-00605,49055535.0,38,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67066,BH26.0999,,,2026-03-03,KH-00605,22942211.0,18,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67067,BH26.1000,,,2026-03-03,KH-00605,34905540.0,26,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67068,BH26.1001,,,2026-03-03,KH-00508,91456638.0,63,19,2026,3,1,2026-05-13 16:07:07.428317+00:00
67069,BH26.1002,,,2026-03-03,KH-00004,46714973.0,38,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67070,BH26.1003,,,2026-03-03,KH-00545,20951105.0,14,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67071,BH26.1004,,,2026-03-03,KH-00402,72120535.0,43,16,2026,3,1,2026-05-13 16:07:07.428317+00:00
67072,BH26.1005,,,2026-03-03,KH-00386,64660726.0,37,18,2026,3,1,2026-05-13 16:07:07.428317+00:00
67073,BH26.1006,,,2026-03-03,KH-00521,25081660.0,16,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67074,BH26.1007,,,2026-03-03,KH-00024,55513875.0,31,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67075,BH26.1008,,,2026-03-03,KH-00166,15721109.0,10,5,2026,3,1,2026-05-13 16:07:07.428317+00:00
67076,BH26.1009,,,2026-03-03,KH-00219,59161097.0,35,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67077,BH26.1010,,,2026-03-03,KH-00565,140214967.0,93,25,2026,3,1,2026-05-13 16:07:07.428317+00:00
67078,BH26.1011,,,2026-03-03,KH-00360,32312770.0,21,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67079,BH26.1012,,,2026-03-03,KH-00639,47703876.0,31,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67080,BH26.1013,,,2026-03-03,KH-00380,54776091.0,36,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67081,BH26.1014,,,2026-03-03,KH-00383,62442770.0,35,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67082,BH26.1015,,,2026-03-03,KH-00702,63468317.0,40,25,2026,3,1,2026-05-13 16:07:07.428317+00:00
67083,BH26.1016,,,2026-03-03,KH-00379,76527750.0,50,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67084,BH26.1017,,,2026-03-04,KH-00023,2120370.0,1,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67085,BH26.1018,,,2026-03-04,KH-00305,10250000.0,3,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67086,BH26.1019,,,2026-03-04,KH-00617,16944444.0,10,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67087,BH26.1020,,,2026-03-04,KH-00543,22852402.0,14,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67088,BH26.1021,,,2026-03-04,KH-00435,20186106.0,12,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67089,BH26.1022,,,2026-03-04,KH-00414,41136099.0,25,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67090,BH26.1023,,,2026-03-04,KH-00147,42805538.0,32,5,2026,3,1,2026-05-13 16:07:07.428317+00:00
67091,BH26.1024,,,2026-03-04,KH-00697,110203871.0,69,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67092,BH26.1025,,,2026-03-04,KH-00385,263416625.0,120,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67093,BH26.1026,,,2026-03-04,KH-00409,17951665.0,10,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67094,BH26.1027,,,2026-03-04,KH-00547,17132774.0,10,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67095,BH26.1028,,,2026-03-04,KH-00580,19544067.0,12,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67096,BH26.1029,,,2026-03-04,KH-00445,28158325.0,17,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67097,BH26.1030,,,2026-03-04,KH-00046,108545534.0,66,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67098,BH26.1031,,,2026-03-04,KH-00486,38294430.0,25,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67099,BH26.1032,,,2026-03-04,KH-00487,116272203.0,58,18,2026,3,1,2026-05-13 16:07:07.428317+00:00
67100,BH26.1033,,,2026-03-04,KH-00423,50138870.0,32,5,2026,3,1,2026-05-13 16:07:07.428317+00:00
67101,BH26.1034,,,2026-03-04,KH-00338,25540549.0,14,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67102,BH26.1035,,,2026-03-04,KH-00472,43607210.0,28,21,2026,3,1,2026-05-13 16:07:07.428317+00:00
67103,BH26.1036,,,2026-03-04,KH-00534,36911655.0,20,15,2026,3,1,2026-05-13 16:07:07.428317+00:00
67104,BH26.1037,,,2026-03-04,KH-00344,27006660.0,16,8,2026,3,1,2026-05-13 16:07:07.428317+00:00
67105,BH26.1038,,,2026-03-04,KH-00091,84570000.0,67,27,2026,3,1,2026-05-13 16:07:07.428317+00:00
67106,BH26.1039,,,2026-03-05,KH-00359,58553875.0,32,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67107,BH26.1040,,,2026-03-05,KH-00434,24168326.0,15,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67108,BH26.1041,,,2026-03-05,KH-00594,209296598.0,131,14,2026,3,1,2026-05-13 16:07:07.428317+00:00
67109,BH26.1042,,,2026-03-05,KH-00594,3305554.0,2,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67110,BH26.1043,,,2026-03-05,KH-00459,17811107.0,10,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67111,BH26.1044,,,2026-03-05,KH-00210,109201063.0,81,27,2026,3,1,2026-05-13 16:07:07.428317+00:00
67112,BH26.1045,,,2026-03-05,KH-00429,41174990.0,22,18,2026,3,1,2026-05-13 16:07:07.428317+00:00
67113,BH26.1046,,,2026-03-05,KH-00030,29707217.0,18,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67114,BH26.1047,,,2026-03-05,KH-00346,80476646.0,46,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67115,BH26.1048,,,2026-03-05,KH-00659,199779954.0,104,27,2026,3,1,2026-05-13 16:07:07.428317+00:00
67116,BH26.1049,,,2026-03-05,KH-00397,20754250.0,16,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67117,BH26.1050,,,2026-03-05,KH-00546,30181104.0,17,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67118,BH26.1051,,,2026-03-05,KH-00569,62422762.0,41,18,2026,3,1,2026-05-13 16:07:07.428317+00:00
67119,BH26.1052,,,2026-03-05,KH-00546,30174993.0,17,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67120,BH26.1053,,,2026-03-05,KH-00134,73858879.0,44,5,2026,3,1,2026-05-13 16:07:07.428317+00:00
67121,BH26.1054,,,2026-03-05,KH-00021,62167762.0,35,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67122,BH26.1055,,,2026-03-05,KH-00559,45678321.0,30,13,2026,3,1,2026-05-13 16:07:07.428317+00:00
67123,BH26.1056,,,2026-03-05,KH-00372,30611100.0,20,2,2026,3,1,2026-05-13 16:07:07.428317+00:00
67124,BH26.1057,,,2026-03-05,KH-00494,90006085.0,49,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67125,BH26.1058,,,2026-03-05,KH-00426,29030087.0,21,4,2026,3,1,2026-05-13 16:07:07.428317+00:00
67126,BH26.1059,,,2026-03-05,KH-00539,14409625.0,10,6,2026,3,1,2026-05-13 16:07:07.428317+00:00
67127,BH26.1060,,,2026-03-05,KH-00354,25644995.0,12,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67128,BH26.1061,,,2026-03-05,KH-00543,11166567.0,10,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67129,BH26.1062,,,2026-03-05,KH-00091,89160000.0,75,45,2026,3,1,2026-05-13 16:07:07.428317+00:00
67130,BH26.1063,,,2026-03-05,KH-00646,32865912.0,25,17,2026,3,1,2026-05-13 16:07:07.428317+00:00
67131,BH26.1064,,,2026-03-05,KH-00451,21504438.0,13,7,2026,3,1,2026-05-13 16:07:07.428317+00:00
67132,BH26.1065,,,2026-03-05,KH-00345,25726662.0,15,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67133,BH26.1066,,,2026-03-05,KH-00108,31232771.0,15,9,2026,3,1,2026-05-13 16:07:07.428317+00:00
67134,BH26.1067,,,2026-03-05,KH-00347,55703321.0,31,12,2026,3,1,2026-05-13 16:07:07.428317+00:00
67135,BH26.1068,,,2026-03-05,KH-00137,40991283.0,28,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
67136,BH26.1069,,,2026-03-06,KH-00007,132226622.0,86,3,2026,3,1,2026-05-13 16:07:07.428317+00:00
67137,BH26.1070,,,2026-03-06,KH-00232,7361112.0,3,1,2026,3,1,2026-05-13 16:07:07.428317+00:00
67138,BH26.1071,,,2026-03-06,KH-00463,105373878.0,66,23,2026,3,1,2026-05-13 16:07:07.428317+00:00
67139,BH26.1072,,,2026-03-06,KH-00378,15550000.0,10,5,2026,3,1,2026-05-13 16:07:07.428317+00:00
67140,BH26.1073,,,2026-03-06,KH-00620,48672951.0,37,11,2026,3,1,2026-05-13 16:07:07.428317+00:00
67141,BH26.1074,,,2026-03-06,KH-00670,25955549.0,16,10,2026,3,1,2026-05-13 16:07:07.428317+00:00
