message_id,so_number,line_no,raw_product_code,raw_product_name,quantity,unit_price,line_total
<177639809687.27.2053695854357871005@longphu.vn>,BH26.0935,1,000104002009000,Xe nnp Thnng Nhnt Tom & Jerry 14 Hnng,1,1898148,1898148
<177639809696.27.1453607047024582931@longphu.vn>,BH26.0936,1,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,1,2861111,2861111
<177639809697.27.11596357474505186610@longphu.vn>,BH26.0937,1,000103002009000,Xe nnp Thnng Nhnt We Bare Bears 16 Hnng,1,1935185,1935185
<177639809697.27.6670988768861278913@namtien.vn>,BH26.0938,1,000331002008000,Xe nnp Thnng Nhnt MTB 26-02 Ghi,1,2953704,2953704
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,1,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,2,1616111,3232222
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,2,000225002002000,Xe nnp Thnng Nhnt New 26 Trnng,3,1616111,4848333
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,3,000225002015000,Xe nnp Thnng Nhnt New 26 Café/nâu,1,1616111,1616111
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,4,000225002025000,Xe nnp Thnng Nhnt New 26 Xanh mint,2,1616111,3232222
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,5,000209002007000,Xe nnp Thnng Nhnt 219-26 Coban,1,1469444,1469444
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,6,000336002004000,Xe nnp Thnng Nhnt SK 20 nn,1,1377777,1377777
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,7,000224002023000,Xe nnp Thnng Nhnt New 24 Kem,1,1555000,1555000
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,8,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,1,1616111,1616111
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,9,000230002009000,Xe nnp Thnng Nhnt LD 26 Pastel Hnng,1,1799444,1799444
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,10,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,2,1799444,3598888
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,11,000230002023000,Xe nnp Thnng Nhnt LD 26 Kem,3,1799444,5398332
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,12,000217003001000,Xe nnp Thnng Nhnt GN 06-26 2.0 nen,1,1591666,1591666
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,13,000217003008000,Xe nnp Thnng Nhnt GN 06-26 2.0 Ghi,3,1591666,4774998
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,14,000217003005000,Xe nnp Thnng Nhnt GN 06-26 2.0 Cam,1,1591666,1591666
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,15,000216003001000,Xe nnp Thnng Nhnt GN 06-24 2.0 nen,2,1530555,3061110
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,16,1040010000080000,Xe nnp Thnng Nhnt TE Batman16 Ghi,1,1326851,1326851
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,17,000337002001000,Xe nnp Thnng Nhnt SK 24 nen,1,1622222,1622222
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,18,000125002009000,Xe nnp Thnng Nhnt Puppy 20 Hnng,2,1310555,2621110
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,19,000331002001000,Xe nnp Thnng Nhnt MTB 26-02 nen,1,1799444,1799444
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,20,1000270020150000,Xe nnp Thnng Nhnt TE Spaceboy 16 Café/nâu,1,943888,943888
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,21,1000270020220000,Xe nnp Thnng Nhnt TE Spaceboy 16 Xanh dnn,3,943888,2831664
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,22,1030010000080000,Xe nnp Thnng Nhnt TE Batman12 Ghi,2,1262037,2524074
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,23,1040010000080000,Xe nnp Thnng Nhnt TE Batman16 Ghi,5,1326851,6634255
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,24,000105002004000,Xe nnp Thnng Nhnt Batwheels 12 nn,2,1132407,2264814
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,25,000105002013000,Xe nnp Thnng Nhnt Batwheels 12 Xanh,2,1132407,2264814
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,26,000106002001000,Xe nnp Thnng Nhnt Batwheels 16 nen,2,1262037,2524074
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,27,000106002013000,Xe nnp Thnng Nhnt Batwheels 16 Xanh,2,1262037,2524074
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,28,000124002009000,Xe nnp Thnng Nhnt Neo 2004 Hnng,2,1111111,2222222
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,29,000124002004000,Xe nnp Thnng Nhnt Neo 2004 nn tnni,1,1111111,1111111
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,30,000336002001000,Xe nnp Thnng Nhnt SK 20 nen,2,1377777,2755554
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26.0939,31,000336002022000,Xe nnp Thnng Nhnt SK 20 xanh,1,1377777,1377777
<177639809698.27.1283066103397798384@quangvinh.vn>,BH26.0940,1,000217003008000,Xe nnp Thnng Nhnt GN 06-26 2.0 Ghi,1,1591666,1591666
<177639809698.27.1283066103397798384@quangvinh.vn>,BH26.0940,2,000216003008000,Xe nnp Thnng Nhnt GN 06-24 2.0 Ghi,1,1530555,1530555
<177639809698.27.1283066103397798384@quangvinh.vn>,BH26.0940,3,000216003001000,Xe nnp Thnng Nhnt GN 06-24 2.0 nen,1,1530555,1530555
<177639809698.27.1283066103397798384@quangvinh.vn>,BH26.0940,4,000331002001000,Xe nnp Thnng Nhnt MTB 26-02 nen,1,1799444,1799444
