message_id,file_name,from_address,subject,received_at,attachment_name,email_so_number,pdf_so_number,email_order_date,pdf_order_date,email_customer_name,pdf_customer_name,email_tax_id,pdf_tax_id,email_address,pdf_address,email_phone,email_total_quantity,pdf_total_quantity,email_total_amount,pdf_total_amount
<177639809687.27.2053695854357871005@longphu.vn>,BH26_0935.eml,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,[ĐẶT HÀNG] BH26.0935,2026-03-01 14:28:41+07:00,BH26_0935.pdf,BH26.0935,BH26.0935,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,CÔNG TY TNHH THnnNG MnI LONG PHÚ,167397253,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội","phn Tràng Thi, phnnng Hàng Trnng, Qunn Hoàn Kinm, TP Hà Nni",0875649429,1,1,1898148,1898148
<177639809696.27.1453607047024582931@longphu.vn>,BH26_0936.eml,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,Đơn đặt hàng BH26.0936 ngày 01/03/2026,2026-03-01 08:01:22+07:00,BH26_0936.pdf,BH26.0936,BH26.0936,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,CÔNG TY TNHH THnnNG MnI LONG PHÚ,167397253,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội","phn Tràng Thi, phnnng Hàng Trnng, Qunn Hoàn Kinm, TP Hà Nni",0905368582,1,1,2861111,2861111
<177639809697.27.11596357474505186610@longphu.vn>,BH26_0937.eml,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ <dathang@longphu.vn>,Đơn đặt hàng BH26.0937 ngày 01/03/2026,2026-03-01 17:39:23+07:00,BH26_0937.pdf,BH26.0937,BH26.0937,2026-03-01,2026-03-01,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,CÔNG TY TNHH THnnNG MnI LONG PHÚ,167397253,167397253,"phố Tràng Thi, phường Hàng Trống, Quận Hoàn Kiếm, TP Hà Nội","phn Tràng Thi, phnnng Hàng Trnng, Qunn Hoàn Kinm, TP Hà Nni",0726429568,1,1,1935185,1935185
<177639809697.27.6670988768861278913@namtien.vn>,BH26_0938.eml,CÔNG TY CỔ PHẦN NAM TIẾN <dathang@namtien.vn>,Đơn đặt hàng BH26.0938 ngày 01/03/2026,2026-03-01 14:00:16+07:00,BH26_0938.pdf,BH26.0938,BH26.0938,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN NAM TIẾN,CÔNG TY Cn PHnN NAM TInN,111014028,111014028,"Phường Phú Diễn, TP Hà Nội","Phnnng Phú Dinn, TP Hà Nni",0804282252,1,1,2953704,2953704
<177639809699.27.15777827095392894769@khaihoan.vn>,BH26_0939.eml,DOANH NGHIỆP TW KHẢI HOÀN <dathang@khaihoan.vn>,Đơn đặt hàng BH26.0939 ngày 01/03/2026,2026-03-01 08:47:33+07:00,BH26_0939.pdf,BH26.0939,BH26.0939,2026-03-01,2026-03-01,DOANH NGHIỆP TW KHẢI HOÀN,DOANH NGHInP TW KHnI HOÀN,114724820,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa","57B Nguynn Trãi, Phnnng Hnc Thành, Thanh Hóa",0986286909,55,55,78111272,78111272
<177639809698.27.1283066103397798384@quangvinh.vn>,BH26_0940.eml,HỘ KINH DOANH QUANG VINH <dathang@quangvinh.vn>,Purchase Order BH26.0940,2026-03-01 14:52:42+07:00,BH26_0940.pdf,BH26.0940,BH26.0940,2026-03-01,2026-03-01,HỘ KINH DOANH QUANG VINH,Hn KINH DOANH QUANG VINH,142986152,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam","Lê Thái Tn, Thôn Tân Minh, Xã Trinu Snn, Tnnh Thanh Hoá, Vint Nam",0848186918,18,18,22573692,22573692
<177639809698.27.14260593838171589262@taybac.vn>,BH26_0941.eml,HỘ KINH DOANH TÂY BẮC <dathang@taybac.vn>,Purchase Order BH26.0941,2026-03-01 07:56:56+07:00,BH26_0941.pdf,BH26.0941,BH26.0941,2026-03-01,2026-03-01,HỘ KINH DOANH TÂY BẮC,Hn KINH DOANH TÂY BnC,221631348,221631348,"Ki ốt số 6,7 Chợ Mọc , Phố Mới, Xã Tân Yên, Bắc Ninh","Ki nt sn 6,7 Chn Mnc , Phn Mni, Xã Tân Yên, Bnc Ninh",0980814863,24,24,36109988,36109988
<177639809699.27.7012091250016467664@dailoi.vn>,BH26_0942.eml,CỬA HÀNG XE ĐẠP ĐẠI LỢI <dathang@dailoi.vn>,Đơn đặt hàng BH26.0942 ngày 01/03/2026,2026-03-01 16:17:13+07:00,BH26_0942.pdf,BH26.0942,BH26.0942,2026-03-01,2026-03-01,CỬA HÀNG XE ĐẠP ĐẠI LỢI,CnA HÀNG XE nnP nnI LnI,207110960,207110960,"Lý Thái Tổ, Phường Trần Phú, Thành phố Bắc Giang, Bắc Giang","Lý Thái Tn, Phnnng Trnn Phú, Thành phn Bnc Giang, Bnc Giang",0733371043,67,67,116303304,116303304
<177639809699.27.15386621650891716399@vanloi.vn>,BH26_0943.eml,CÔNG TY TNHH VẠN LỢI <dathang@vanloi.vn>,Yêu cầu cung cấp hàng - BH26.0943,2026-03-01 16:40:23+07:00,BH26_0943.pdf,BH26.0943,BH26.0943,2026-03-01,2026-03-01,CÔNG TY TNHH VẠN LỢI,CÔNG TY TNHH VnN LnI,251887557,251887557,"Hòa Vang 3, Xã Hưng Lộc, TP Huế","Hòa Vang 3, Xã Hnng Lnc, TP Hun",0756023817,23,23,34690175,34690175
<177639809700.27.6553587738384543240@vietanh.vn>,BH26_0944.eml,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH <dathang@vietanh.vn>,Purchase Order BH26.0944,2026-03-01 16:44:58+07:00,BH26_0944.pdf,BH26.0944,BH26.0944,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN THƯƠNG MẠI VIỆT ANH,"CÔNG TY Cn PHnN THnnNG MnI VInT
ANH",150425614,150425614,"Xã Hồng Sơn, Huyện Mỹ Đức, Hà Nội","Xã Hnng Snn, Huynn Mn nnc, Hà Nni",0992098027,30,30,46613325,46613325
<177639809700.27.12946299709363366021@dailoi.vn>,BH26_0945.eml,DOANH NGHIỆP TW ĐẠI LỢI <dathang@dailoi.vn>,[ĐẶT HÀNG] BH26.0945,2026-03-01 10:51:21+07:00,BH26_0945.pdf,BH26.0945,BH26.0945,2026-03-01,2026-03-01,DOANH NGHIỆP TW ĐẠI LỢI,DOANH NGHInP TW nnI LnI,144863555,144863555,"Liền Kề 373, NO11, khu Cổng Đồng, tổ dân phố số 4, đường Tố Hữu, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội, Việt Nam","Linn Kn 373, NO11, khu Cnng nnng, tn dân phn sn 4, nnnng Tn Hnu, Phnnng La Khê, Qunn Hà nông, Thành phn Hà Nni, Vint Nam",0356759445,21,21,29681658,29681658
<177639809701.27.1317143838265288107@vietanh.vn>,BH26_0946.eml,DOANH NGHIỆP TW VIỆT ANH <dathang@vietanh.vn>,Purchase Order BH26.0946,2026-03-01 07:35:58+07:00,BH26_0946.pdf,BH26.0946,BH26.0946,2026-03-01,2026-03-01,DOANH NGHIỆP TW VIỆT ANH,DOANH NGHInP TW VInT ANH,240687273,240687273,"tổ 3, Phường Kiến Hưng, TP Hà Nội","tn 3, Phnnng Kinn Hnng, TP Hà Nni",0981965105,19,19,28994902,28994902
<177639809696.27.801519116549617023@toanthang.vn>,BH26_0947.eml,CÔNG TY CỔ PHẦN TOÀN THẮNG <dathang@toanthang.vn>,Purchase Order BH26.0947,2026-03-01 16:12:36+07:00,BH26_0947.pdf,BH26.0947,BH26.0947,2026-03-01,2026-03-01,CÔNG TY CỔ PHẦN TOÀN THẮNG,CÔNG TY Cn PHnN TOÀN THnNG,267718135,267718135,"Xã Bình Minh, Thành phố Hà Nội","Xã Bình Minh, Thành phn Hà Nni",0397817953,12,12,16282679,16282679
