fact_id,order_date,fiscal_year,fiscal_quarter,fiscal_month,week_of_year,so_number,order_id,line_id,customer_code,customer_name,province_id,province_name,region,product_code,product_name,color,line_id_fk,line_name,group_code,group_name,quantity,unit_price,line_total,customer_code_final,customer_name_final,customer_mapping_status,province_name_final,region_final,geo_mapping_status,line_name_final,group_code_final,group_name_final,product_classification_status,product_classification_confidence,product_classification_rule
492391,2026-03-01,2026,1,3,9,BH26.0935,67002,506802,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11.0,Hà Nội,Miền Bắc,000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,Hồng,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.0,1898148.0,1898148.0,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,UNCLASSIFIED_REMAINING,,
492392,2026-03-01,2026,1,3,9,BH26.0936,67003,506803,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11.0,Hà Nội,Miền Bắc,000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Pastel Xanh,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.0,2861111.0,2861111.0,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Xe LD 26,CITYBIKE_P,Xe phổ thông,ENRICHED_APPROVED,0.95,NAME_PATTERN_MATCH
492393,2026-03-01,2026,1,3,9,BH26.0937,67004,506804,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11.0,Hà Nội,Miền Bắc,000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,Hồng,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.0,1935185.0,1935185.0,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,UNCLASSIFIED_REMAINING,,
492394,2026-03-01,2026,1,3,9,BH26.0938,67005,506805,KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,3.0,Bắc Ninh,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,18,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,1.0,2953704.0,2953704.0,KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,MAPPED,Bắc Ninh,Miền Bắc,MASTER_DATA,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492395,2026-03-01,2026,1,3,9,BH26.0939,67006,506806,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2.0,1616111.0,3232222.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492396,2026-03-01,2026,1,3,9,BH26.0939,67006,506807,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,3.0,1616111.0,4848333.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492397,2026-03-01,2026,1,3,9,BH26.0939,67006,506808,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,21,Xe New 26,CITYBIKE_P,Xe phổ thông,1.0,1616111.0,1616111.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492398,2026-03-01,2026,1,3,9,BH26.0939,67006,506809,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2.0,1616111.0,3232222.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492399,2026-03-01,2026,1,3,9,BH26.0939,67006,506810,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000209002007000,Xe đạp Thống Nhất 219-26 Coban,Coban,3,Xe 219-26,CITYBIKE_P,Xe phổ thông,1.0,1469444.0,1469444.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe 219-26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
492400,2026-03-01,2026,1,3,9,BH26.0939,67006,506811,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52.0,Thanh Hóa,Miền Trung,000336002004000,Xe đạp Thống Nhất SK 20 đỏ,đỏ,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.0,1377777.0,1377777.0,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe SK 20,KIDBIKE_1,Xe trẻ em nhóm 1,ENRICHED_APPROVED,0.9,MODEL_GROUP_RULE
