fact_id,order_date,fiscal_year,fiscal_quarter,fiscal_month,week_of_year,so_number,order_id,line_id,customer_code,customer_name,province_id,province_name,region,product_code,product_name,color,line_id_fk,line_name,group_code,group_name,quantity,unit_price,line_total,customer_code_final,customer_name_final,customer_mapping_status,province_name_final,region_final,geo_mapping_status,line_name_final,group_code_final,group_name_final,product_classification_status,product_classification_confidence,product_classification_rule
501114,2026-03-01,2026,1,3,9,BH26.0935,68134,515525,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11,Hà Nội,Miền Bắc,000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,Hồng,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.00,1898148.00,1898148.00,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,UNCLASSIFIED_REMAINING,,
501115,2026-03-01,2026,1,3,9,BH26.0936,68135,515526,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11,Hà Nội,Miền Bắc,000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Pastel Xanh,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.00,2861111.00,2861111.00,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Xe LD 26,CITYBIKE_P,Xe phổ thông,ENRICHED_APPROVED,0.9500,NAME_PATTERN_MATCH
501116,2026-03-01,2026,1,3,9,BH26.0937,68136,515527,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,11,Hà Nội,Miền Bắc,000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,Hồng,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.00,1935185.00,1935185.00,KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,MAPPED,Hà Nội,Miền Bắc,MASTER_DATA,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,UNCLASSIFIED_REMAINING,,
501117,2026-03-01,2026,1,3,9,BH26.0938,68137,515528,KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,3,Bắc Ninh,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,18,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,1.00,2953704.00,2953704.00,KH-00196,CÔNG TY CỔ PHẦN NAM TIẾN,MAPPED,Bắc Ninh,Miền Bắc,MASTER_DATA,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501118,2026-03-01,2026,1,3,9,BH26.0939,68138,515529,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2.00,1616111.00,3232222.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501119,2026-03-01,2026,1,3,9,BH26.0939,68138,515530,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,3.00,1616111.00,4848333.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501120,2026-03-01,2026,1,3,9,BH26.0939,68138,515531,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,21,Xe New 26,CITYBIKE_P,Xe phổ thông,1.00,1616111.00,1616111.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501121,2026-03-01,2026,1,3,9,BH26.0939,68138,515532,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2.00,1616111.00,3232222.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe New 26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501122,2026-03-01,2026,1,3,9,BH26.0939,68138,515533,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000209002007000,Xe đạp Thống Nhất 219-26 Coban,Coban,3,Xe 219-26,CITYBIKE_P,Xe phổ thông,1.00,1469444.00,1469444.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe 219-26,CITYBIKE_P,Xe phổ thông,MASTER_DATA,,
501123,2026-03-01,2026,1,3,9,BH26.0939,68138,515534,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,52,Thanh Hóa,Miền Trung,000336002004000,Xe đạp Thống Nhất SK 20 đỏ,Đỏ,9999,Chưa phân loại,UNCLASSIFIED,Chưa phân loại,1.00,1377777.00,1377777.00,KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,MAPPED,Thanh Hóa,Miền Trung,MASTER_DATA,Xe SK 20,KIDBIKE_1,Xe trẻ em nhóm 1,ENRICHED_APPROVED,0.9000,MODEL_GROUP_RULE
